case_id,model,car_number,is_true_car,n_flagged,n_total,frac_flagged
acv_case_01.xlsx,elliptic_envelope,01,True,2803,6999,0.40048578368338333
acv_case_01.xlsx,elliptic_envelope,02,False,3251,6999,0.46449492784683527
acv_case_01.xlsx,elliptic_envelope,03,False,2096,6999,0.29947135305043576
acv_case_01.xlsx,elliptic_envelope,04,False,2101,6999,0.3001857408201172
acv_case_01.xlsx,elliptic_envelope,05,False,1989,6999,0.28418345477925416
acv_case_01.xlsx,elliptic_envelope,06,False,2111,6999,0.30161451635947994
acv_case_01.xlsx,elliptic_envelope,07,False,2107,6999,0.3010430061437348
acv_case_01.xlsx,elliptic_envelope,08,False,2358,6999,0.33690527218174027
acv_case_02.xlsx,elliptic_envelope,01,False,670,9187,0.07292913900076195
acv_case_02.xlsx,elliptic_envelope,02,True,894,9187,0.09731141830847938
acv_case_02.xlsx,elliptic_envelope,03,False,391,9187,0.04256013932731033
acv_case_02.xlsx,elliptic_envelope,04,False,261,9187,0.02840970937193861
acv_case_02.xlsx,elliptic_envelope,05,False,450,9187,0.04898225753782519
acv_case_02.xlsx,elliptic_envelope,06,False,385,9187,0.04190704256013933
acv_case_02.xlsx,elliptic_envelope,07,False,394,9187,0.04288668771089583
acv_case_02.xlsx,elliptic_envelope,08,False,424,9187,0.046152171546750845
acv_case_03.xlsx,elliptic_envelope,01,False,365,8310,0.043922984356197355
acv_case_03.xlsx,elliptic_envelope,02,False,496,8310,0.059687123947051744
acv_case_03.xlsx,elliptic_envelope,03,True,1472,8310,0.17713598074608905
acv_case_03.xlsx,elliptic_envelope,04,False,1532,8310,0.18435619735258724
acv_case_03.xlsx,elliptic_envelope,05,False,286,8310,0.034416365824308064
acv_case_03.xlsx,elliptic_envelope,06,False,277,8310,0.03333333333333333
acv_case_03.xlsx,elliptic_envelope,07,False,290,8310,0.03489771359807461
acv_case_03.xlsx,elliptic_envelope,08,False,713,8310,0.08580024067388688
acv_case_05.xlsx,elliptic_envelope,01,False,886,6972,0.12707974756167528
acv_case_05.xlsx,elliptic_envelope,02,False,886,6972,0.12707974756167528
acv_case_05.xlsx,elliptic_envelope,03,False,886,6972,0.12707974756167528
acv_case_05.xlsx,elliptic_envelope,04,True,886,6972,0.12707974756167528
acv_case_05.xlsx,elliptic_envelope,05,False,886,6972,0.12707974756167528
acv_case_05.xlsx,elliptic_envelope,06,False,886,6972,0.12707974756167528
acv_case_05.xlsx,elliptic_envelope,07,False,886,6972,0.12707974756167528
acv_case_05.xlsx,elliptic_envelope,08,False,886,6972,0.12707974756167528
acv_case_06.xlsx,elliptic_envelope,01,False,3263,3263,1.0
acv_case_06.xlsx,elliptic_envelope,02,False,3263,3263,1.0
acv_case_06.xlsx,elliptic_envelope,03,False,3263,3263,1.0
acv_case_06.xlsx,elliptic_envelope,04,False,3263,3263,1.0
acv_case_06.xlsx,elliptic_envelope,05,False,3263,3263,1.0
acv_case_06.xlsx,elliptic_envelope,06,True,3263,3263,1.0
acv_case_06.xlsx,elliptic_envelope,07,False,3263,3263,1.0
acv_case_06.xlsx,elliptic_envelope,08,False,3055,3263,0.9362549800796812
